"year","mbbs_county","route","route_num","count"
2002,"chatham",53,13,0
2003,"chatham",53,13,0
2004,"chatham",53,13,4
2005,"chatham",53,13,0
2006,"chatham",53,13,3
2007,"chatham",53,13,1
2008,"chatham",53,13,0
2009,"chatham",53,13,3
2010,"chatham",53,13,7
2011,"chatham",53,13,11
2012,"chatham",53,13,16
2013,"chatham",53,13,8
2014,"chatham",53,13,13
2015,"chatham",53,13,8
2016,"chatham",53,13,7
2017,"chatham",53,13,6
2018,"chatham",53,13,9
2019,"chatham",53,13,5
2020,"chatham",53,13,4
2021,"chatham",53,13,10
2022,"chatham",53,13,7
2023,"chatham",53,13,3
2000,"chatham",54,14,3
2001,"chatham",54,14,3
2002,"chatham",54,14,4
2003,"chatham",54,14,4
2004,"chatham",54,14,3
2005,"chatham",54,14,4
2006,"chatham",54,14,10
2007,"chatham",54,14,4
2008,"chatham",54,14,3
2009,"chatham",54,14,5
2014,"chatham",54,14,11
2015,"chatham",54,14,7
2019,"chatham",54,14,2
2020,"chatham",54,14,12
2021,"chatham",54,14,11
2022,"chatham",54,14,2
2023,"chatham",54,14,8
