"year","county","route","route_num","count"
2004,"chatham","cthm-04",4,36
2005,"chatham","cthm-04",4,27
2006,"chatham","cthm-04",4,43
2007,"chatham","cthm-04",4,33
2008,"chatham","cthm-04",4,27
2009,"chatham","cthm-04",4,35
2010,"chatham","cthm-04",4,32
2011,"chatham","cthm-04",4,34
2012,"chatham","cthm-04",4,34
2013,"chatham","cthm-04",4,33
2014,"chatham","cthm-04",4,30
2015,"chatham","cthm-04",4,27
2016,"chatham","cthm-04",4,35
2017,"chatham","cthm-04",4,25
2018,"chatham","cthm-04",4,23
2019,"chatham","cthm-04",4,18
2020,"chatham","cthm-04",4,21
2021,"chatham","cthm-04",4,14
2022,"chatham","cthm-04",4,12
2023,"chatham","cthm-04",4,14
2024,"chatham","cthm-04",4,13
2025,"chatham","cthm-04",4,22
2000,"chatham","cthm-05",5,27
2001,"chatham","cthm-05",5,31
2002,"chatham","cthm-05",5,16
2003,"chatham","cthm-05",5,35
2004,"chatham","cthm-05",5,22
2005,"chatham","cthm-05",5,18
2006,"chatham","cthm-05",5,48
2007,"chatham","cthm-05",5,48
2008,"chatham","cthm-05",5,42
2009,"chatham","cthm-05",5,58
2010,"chatham","cthm-05",5,36
2011,"chatham","cthm-05",5,54
2012,"chatham","cthm-05",5,40
2013,"chatham","cthm-05",5,56
2014,"chatham","cthm-05",5,47
2015,"chatham","cthm-05",5,37
2016,"chatham","cthm-05",5,40
2017,"chatham","cthm-05",5,24
2018,"chatham","cthm-05",5,38
2019,"chatham","cthm-05",5,33
2020,"chatham","cthm-05",5,17
2021,"chatham","cthm-05",5,37
2022,"chatham","cthm-05",5,17
2023,"chatham","cthm-05",5,30
2024,"chatham","cthm-05",5,33
2025,"chatham","cthm-05",5,23
2000,"chatham","cthm-06",6,53
2001,"chatham","cthm-06",6,36
2002,"chatham","cthm-06",6,44
2003,"chatham","cthm-06",6,31
2004,"chatham","cthm-06",6,36
2005,"chatham","cthm-06",6,27
2006,"chatham","cthm-06",6,38
2007,"chatham","cthm-06",6,30
2008,"chatham","cthm-06",6,36
2009,"chatham","cthm-06",6,54
2010,"chatham","cthm-06",6,45
2018,"chatham","cthm-06",6,52
2019,"chatham","cthm-06",6,29
2020,"chatham","cthm-06",6,28
2021,"chatham","cthm-06",6,25
2022,"chatham","cthm-06",6,26
2023,"chatham","cthm-06",6,32
2024,"chatham","cthm-06",6,30
2025,"chatham","cthm-06",6,35
2000,"chatham","cthm-07",7,33
2001,"chatham","cthm-07",7,22
2002,"chatham","cthm-07",7,23
2003,"chatham","cthm-07",7,29
2004,"chatham","cthm-07",7,17
2005,"chatham","cthm-07",7,33
2006,"chatham","cthm-07",7,20
2007,"chatham","cthm-07",7,26
2008,"chatham","cthm-07",7,24
2009,"chatham","cthm-07",7,30
2010,"chatham","cthm-07",7,25
2011,"chatham","cthm-07",7,24
2012,"chatham","cthm-07",7,33
2013,"chatham","cthm-07",7,31
2014,"chatham","cthm-07",7,28
2015,"chatham","cthm-07",7,19
2016,"chatham","cthm-07",7,32
2017,"chatham","cthm-07",7,22
2018,"chatham","cthm-07",7,21
2019,"chatham","cthm-07",7,23
2020,"chatham","cthm-07",7,27
2021,"chatham","cthm-07",7,9
2022,"chatham","cthm-07",7,32
2023,"chatham","cthm-07",7,16
2024,"chatham","cthm-07",7,17
2025,"chatham","cthm-07",7,23
2000,"chatham","cthm-08",8,33
2001,"chatham","cthm-08",8,54
2002,"chatham","cthm-08",8,28
2003,"chatham","cthm-08",8,47
2004,"chatham","cthm-08",8,54
2005,"chatham","cthm-08",8,49
2006,"chatham","cthm-08",8,32
2007,"chatham","cthm-08",8,29
