"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2005,2005-05-15,"chatham",43,3,33465,15,40,6
2005,2005-05-15,"orange",9,8,33465,3,1,6
2005,2005-05-22,"chatham",42,2,33465,3,40,6
2005,2005-05-23,"orange",2,1,33465,6,1,6
2005,2005-05-23,"orange",8,7,33465,3,1,6
2005,2005-05-29,"durham",22,2,33465,0,NA,6
2005,2005-05-29,"orange",5,4,33465,2,1,6
2005,2005-05-30,"chatham",44,4,33465,6,40,6
2005,2005-05-30,"chatham",54,14,33465,6,40,6
2005,2005-06-01,"chatham",46,6,33465,2,40,6
2005,2005-06-01,"chatham",51,11,33465,0,NA,6
2005,2005-06-07,"orange",10,9,33465,1,1,6
2005,2005-06-08,"durham",24,4,33465,2,20,6
2005,2005-06-11,"orange",6,5,33465,5,1,6
2005,2005-06-11,"orange",13,12,33465,4,1,6
2005,2005-06-12,"chatham",52,12,33465,10,40,6
2005,2005-06-12,"orange",11,10,33465,3,1,6
2005,2005-06-13,"chatham",53,13,33465,0,NA,6
2005,2005-06-13,"durham",25,5,33465,0,NA,6
2005,2005-06-13,"durham",27,7,33465,4,20,6
2005,2005-06-19,"chatham",41,1,33465,0,NA,6
2005,2005-06-19,"chatham",49,9,33465,6,40,6
2005,2005-06-19,"chatham",50,10,33465,0,NA,6
2005,2005-06-19,"durham",21,1,33465,2,20,6
2005,2005-06-19,"durham",26,6,33465,0,NA,6
2005,2005-06-21,"orange",7,6,33465,0,NA,6
2005,2005-06-23,"orange",4,3,33465,3,1,6
2005,2005-06-25,"durham",28,8,33465,1,20,6
2005,2005-06-26,"chatham",45,5,33465,28,40,6
2005,2005-06-26,"chatham",48,8,33465,0,NA,6
2005,2005-06-26,"durham",23,3,33465,0,NA,6
2005,2005-06-26,"orange",12,11,33465,2,1,6
2005,2005-07-09,"chatham",47,7,33465,10,40,6
2006,2006-05-17,"chatham",51,11,33465,0,NA,7
2006,2006-05-21,"chatham",54,14,33465,6,40,7
2006,2006-05-21,"orange",8,7,33465,4,1,7
2006,2006-05-21,"orange",9,8,33465,0,NA,7
2006,2006-05-21,"orange",13,12,33465,5,1,7
2006,2006-05-27,"orange",5,4,33465,1,1,7
2006,2006-05-28,"durham",23,3,33465,0,NA,7
2006,2006-05-28,"orange",3,2,33465,0,NA,7
2006,2006-05-28,"orange",7,6,33465,2,1,7
2006,2006-06-10,"chatham",45,5,33465,8,40,7
2006,2006-06-10,"orange",2,1,33465,4,1,7
2006,2006-06-11,"chatham",46,6,33465,1,40,7
2006,2006-06-13,"chatham",42,2,33465,4,40,7
2006,2006-06-15,"durham",27,7,33465,5,20,7
2006,2006-06-16,"orange",10,9,33465,0,NA,7
2006,2006-06-17,"durham",21,1,33465,5,20,7
2006,2006-06-17,"durham",22,2,33465,0,NA,7
2006,2006-06-17,"durham",24,4,33465,3,20,7
2006,2006-06-17,"durham",25,5,33465,1,20,7
2006,2006-06-17,"durham",28,8,33465,2,20,7
2006,2006-06-18,"chatham",41,1,33465,0,NA,7
2006,2006-06-18,"chatham",43,3,33465,10,40,7
2006,2006-06-18,"chatham",44,4,33465,7,40,7
2006,2006-06-18,"chatham",48,8,33465,0,NA,7
2006,2006-06-18,"chatham",52,12,33465,2,40,7
2006,2006-06-18,"durham",26,6,33465,0,NA,7
2006,2006-06-18,"orange",11,10,33465,6,1,7
2006,2006-06-23,"orange",4,3,33465,3,1,7
2006,2006-06-24,"chatham",47,7,33465,4,40,7
2006,2006-06-24,"chatham",49,9,33465,0,NA,7
2006,2006-06-24,"chatham",50,10,33465,2,40,7
2006,2006-06-24,"chatham",53,13,33465,0,NA,7
2006,2006-06-24,"orange",6,5,33465,12,1,7
2006,2006-06-26,"orange",12,11,33465,0,NA,7
2007,2007-05-20,"chatham",42,2,33465,2,40,8
2007,2007-05-20,"orange",9,8,33465,0,NA,8
2007,2007-05-21,"orange",8,7,33465,0,NA,8
2007,2007-05-24,"chatham",51,11,33465,0,NA,8
2007,2007-05-26,"orange",2,1,33465,2,1,8
2007,2007-05-27,"durham",23,3,33465,0,NA,8
2007,2007-05-27,"orange",3,2,33465,1,1,8
2007,2007-05-27,"orange",7,6,33465,2,1,8
2007,2007-05-28,"chatham",44,4,33465,3,40,8
2007,2007-05-28,"durham",22,2,33465,3,20,8
2007,2007-05-28,"orange",5,4,33465,1,1,8
2007,2007-06-07,"durham",24,4,33465,4,20,8
2007,2007-06-10,"chatham",54,14,33465,4,40,8
2007,2007-06-10,"orange",11,10,33465,7,1,8
2007,2007-06-10,"orange",13,12,33465,5,1,8
2007,2007-06-16,"orange",12,11,33465,0,NA,8
2007,2007-06-17,"chatham",41,1,33465,0,NA,8
2007,2007-06-17,"chatham",43,3,33465,10,40,8
2007,2007-06-17,"chatham",46,6,33465,1,40,8
2007,2007-06-17,"chatham",48,8,33465,1,40,8
2007,2007-06-17,"chatham",52,12,33465,4,40,8
2007,2007-06-17,"orange",4,3,33465,3,1,8
2007,2007-06-17,"orange",6,5,33465,10,1,8
2007,2007-06-22,"durham",27,7,33465,5,20,8
2007,2007-06-23,"chatham",47,7,33465,3,40,8
2007,2007-06-24,"chatham",45,5,33465,7,40,8
2007,2007-06-24,"chatham",49,9,33465,0,NA,8
2007,2007-06-24,"chatham",50,10,33465,6,40,8
2007,2007-06-24,"durham",21,1,33465,2,20,8
2007,2007-06-24,"durham",25,5,33465,0,NA,8
2007,2007-06-24,"durham",26,6,33465,0,NA,8
2007,2007-06-26,"orange",10,9,33465,1,1,8
2007,2007-07-02,"durham",28,8,33465,0,NA,8
2007,2007-07-15,"chatham",53,13,33465,8,40,8
2008,2008-05-18,"chatham",44,4,33465,0,NA,9
2008,2008-05-18,"orange",7,6,33465,1,1,9
2008,2008-05-20,"chatham",51,11,33465,2,40,9
2008,2008-05-21,"orange",8,7,33465,2,1,9
2008,2008-05-25,"chatham",41,1,33465,0,NA,9
2008,2008-05-25,"chatham",42,2,33465,1,40,9
2008,2008-05-25,"chatham",53,13,33465,2,40,9
2008,2008-05-25,"durham",22,2,33465,1,20,9
2008,2008-05-25,"orange",5,4,33465,0,NA,9
2008,2008-05-26,"chatham",54,14,33465,2,40,9
2008,2008-06-01,"chatham",46,6,33465,1,40,9
2008,2008-06-01,"chatham",50,10,33465,2,40,9
2008,2008-06-01,"durham",21,1,33465,3,20,9
2008,2008-06-01,"durham",23,3,33465,0,NA,9
2008,2008-06-01,"durham",24,4,33465,2,20,9
2008,2008-06-01,"orange",4,3,33465,5,1,9
2008,2008-06-01,"orange",9,8,33465,0,NA,9
2008,2008-06-01,"orange",11,10,33465,5,1,9
2008,2008-06-03,"durham",27,7,33465,3,20,9
2008,2008-06-05,"chatham",49,9,33465,3,40,9
2008,2008-06-06,"orange",3,2,33465,0,NA,9
