"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2009,2009-06-28,"chatham",47,7,26890,1,40,10
2009,2009-06-28,"orange",10,9,26890,4,1,10
2009,2009-06-30,"durham",27,7,26890,0,NA,10
2009,2009-07-05,"orange",13,12,26890,4,1,10
2010,2010-05-09,"durham",21,1,26890,0,NA,11
2010,2010-05-23,"orange",8,7,26890,4,1,11
2010,2010-05-29,"orange",3,2,26890,7,1,11
2010,2010-05-30,"chatham",43,3,26890,0,NA,11
2010,2010-05-30,"orange",6,5,26890,9,1,11
2010,2010-05-31,"orange",13,12,26890,1,1,11
2010,2010-06-01,"chatham",44,4,26890,2,40,11
2010,2010-06-01,"orange",9,8,26890,0,1,11
2010,2010-06-05,"chatham",41,1,26890,0,40,11
2010,2010-06-05,"chatham",45,5,26890,57,40,11
2010,2010-06-06,"chatham",48,8,26890,3,40,11
2010,2010-06-06,"chatham",53,13,26890,12,40,11
2010,2010-06-08,"orange",7,6,26890,0,NA,11
2010,2010-06-11,"chatham",51,11,26890,0,NA,11
2010,2010-06-13,"chatham",47,7,26890,0,NA,11
2010,2010-06-13,"durham",22,2,26890,0,NA,11
2010,2010-06-13,"durham",23,3,26890,6,20,11
2010,2010-06-13,"durham",25,5,26890,1,20,11
2010,2010-06-13,"durham",26,6,26890,5,20,11
2010,2010-06-15,"durham",27,7,26890,0,NA,11
2010,2010-06-17,"orange",2,1,26890,27,1,11
2010,2010-06-20,"chatham",42,2,26890,0,40,11
2010,2010-06-20,"chatham",46,6,26890,16,40,11
2010,2010-06-20,"chatham",49,9,26890,0,NA,11
2010,2010-06-20,"chatham",50,10,26890,1,40,11
2010,2010-07-18,"orange",5,4,26890,0,NA,11
2011,2011-05-15,"chatham",42,2,26890,0,NA,12
2011,2011-05-15,"durham",25,5,26890,2,20,12
2011,2011-05-15,"orange",8,7,26890,3,1,12
2011,2011-05-22,"durham",24,4,26890,2,20,12
2011,2011-05-22,"orange",2,1,26890,15,1,12
2011,2011-05-28,"chatham",44,4,26890,4,40,12
2011,2011-05-28,"durham",21,1,26890,0,NA,12
2011,2011-05-29,"chatham",48,8,26890,3,40,12
2011,2011-05-29,"durham",26,6,26890,2,20,12
2011,2011-05-29,"orange",13,12,26890,0,NA,12
