"year","county","route","route_num","count"
2001,"chatham","cthm-03",3,0
2002,"chatham","cthm-03",3,5
2003,"chatham","cthm-03",3,2
2004,"chatham","cthm-03",3,0
2005,"chatham","cthm-03",3,4
2006,"chatham","cthm-03",3,0
2007,"chatham","cthm-03",3,0
2008,"chatham","cthm-03",3,0
2009,"chatham","cthm-03",3,0
2010,"chatham","cthm-03",3,0
2011,"chatham","cthm-03",3,12
2012,"chatham","cthm-03",3,0
2013,"chatham","cthm-03",3,0
2014,"chatham","cthm-03",3,0
2015,"chatham","cthm-03",3,1
2016,"chatham","cthm-03",3,0
2017,"chatham","cthm-03",3,0
2018,"chatham","cthm-03",3,0
2019,"chatham","cthm-03",3,0
2020,"chatham","cthm-03",3,0
2021,"chatham","cthm-03",3,0
2022,"chatham","cthm-03",3,0
2023,"chatham","cthm-03",3,0
2024,"chatham","cthm-03",3,25
2025,"chatham","cthm-03",3,0
2000,"chatham","cthm-04",4,0
2001,"chatham","cthm-04",4,0
2002,"chatham","cthm-04",4,0
2003,"chatham","cthm-04",4,0
2004,"chatham","cthm-04",4,0
2005,"chatham","cthm-04",4,0
2006,"chatham","cthm-04",4,0
2007,"chatham","cthm-04",4,2
2008,"chatham","cthm-04",4,6
2009,"chatham","cthm-04",4,0
2010,"chatham","cthm-04",4,3
2011,"chatham","cthm-04",4,10
2012,"chatham","cthm-04",4,0
2013,"chatham","cthm-04",4,1
2014,"chatham","cthm-04",4,5
2015,"chatham","cthm-04",4,0
2016,"chatham","cthm-04",4,0
2017,"chatham","cthm-04",4,0
2018,"chatham","cthm-04",4,0
2019,"chatham","cthm-04",4,4
2020,"chatham","cthm-04",4,2
2021,"chatham","cthm-04",4,0
2022,"chatham","cthm-04",4,1
2023,"chatham","cthm-04",4,13
2024,"chatham","cthm-04",4,0
2025,"chatham","cthm-04",4,0
2000,"chatham","cthm-05",5,0
2001,"chatham","cthm-05",5,0
2002,"chatham","cthm-05",5,4
2003,"chatham","cthm-05",5,0
2004,"chatham","cthm-05",5,2
2005,"chatham","cthm-05",5,0
2006,"chatham","cthm-05",5,0
2007,"chatham","cthm-05",5,0
2008,"chatham","cthm-05",5,4
2009,"chatham","cthm-05",5,0
2010,"chatham","cthm-05",5,0
2011,"chatham","cthm-05",5,0
2012,"chatham","cthm-05",5,0
2013,"chatham","cthm-05",5,3
2014,"chatham","cthm-05",5,0
2015,"chatham","cthm-05",5,0
2016,"chatham","cthm-05",5,0
2017,"chatham","cthm-05",5,13
2018,"chatham","cthm-05",5,0
2019,"chatham","cthm-05",5,0
2020,"chatham","cthm-05",5,0
2021,"chatham","cthm-05",5,0
2022,"chatham","cthm-05",5,0
2023,"chatham","cthm-05",5,0
2024,"chatham","cthm-05",5,1
2025,"chatham","cthm-05",5,0
2000,"chatham","cthm-06",6,0
2001,"chatham","cthm-06",6,21
2002,"chatham","cthm-06",6,0
2003,"chatham","cthm-06",6,0
2004,"chatham","cthm-06",6,0
2005,"chatham","cthm-06",6,5
2006,"chatham","cthm-06",6,0
2007,"chatham","cthm-06",6,0
2008,"chatham","cthm-06",6,0
2009,"chatham","cthm-06",6,0
2010,"chatham","cthm-06",6,7
2018,"chatham","cthm-06",6,0
2019,"chatham","cthm-06",6,0
2020,"chatham","cthm-06",6,0
2021,"chatham","cthm-06",6,0
2022,"chatham","cthm-06",6,0
2023,"chatham","cthm-06",6,1
2024,"chatham","cthm-06",6,2
2025,"chatham","cthm-06",6,14
2000,"chatham","cthm-07",7,0
2001,"chatham","cthm-07",7,1
2002,"chatham","cthm-07",7,0
2003,"chatham","cthm-07",7,0
2004,"chatham","cthm-07",7,0
2005,"chatham","cthm-07",7,0
2006,"chatham","cthm-07",7,0
2007,"chatham","cthm-07",7,0
2008,"chatham","cthm-07",7,1
2009,"chatham","cthm-07",7,0
2010,"chatham","cthm-07",7,0
2011,"chatham","cthm-07",7,0
2012,"chatham","cthm-07",7,0
2013,"chatham","cthm-07",7,0
2014,"chatham","cthm-07",7,0
2015,"chatham","cthm-07",7,0
2016,"chatham","cthm-07",7,0
2017,"chatham","cthm-07",7,0
2018,"chatham","cthm-07",7,0
2019,"chatham","cthm-07",7,1
2020,"chatham","cthm-07",7,0
2021,"chatham","cthm-07",7,0
2022,"chatham","cthm-07",7,1
2023,"chatham","cthm-07",7,0
2024,"chatham","cthm-07",7,0
2025,"chatham","cthm-07",7,0
2000,"chatham","cthm-08",8,0
2001,"chatham","cthm-08",8,2
2002,"chatham","cthm-08",8,0
2003,"chatham","cthm-08",8,0
2004,"chatham","cthm-08",8,0
2005,"chatham","cthm-08",8,0
2006,"chatham","cthm-08",8,0
2007,"chatham","cthm-08",8,0
2008,"chatham","cthm-08",8,0
2009,"chatham","cthm-08",8,10
2010,"chatham","cthm-08",8,0
2011,"chatham","cthm-08",8,0
2012,"chatham","cthm-08",8,0
2013,"chatham","cthm-08",8,0
2014,"chatham","cthm-08",8,10
2015,"chatham","cthm-08",8,0
2016,"chatham","cthm-08",8,0
2017,"chatham","cthm-08",8,0
2019,"chatham","cthm-08",8,0
2020,"chatham","cthm-08",8,0
2021,"chatham","cthm-08",8,0
2022,"chatham","cthm-08",8,0
2023,"chatham","cthm-08",8,0
2024,"chatham","cthm-08",8,0
2025,"chatham","cthm-08",8,0
2000,"chatham","cthm-09",9,0
2001,"chatham","cthm-09",9,0
2002,"chatham","cthm-09",9,6
2003,"chatham","cthm-09",9,1
2005,"chatham","cthm-09",9,0
2006,"chatham","cthm-09",9,0
2007,"chatham","cthm-09",9,0
2008,"chatham","cthm-09",9,1
2009,"chatham","cthm-09",9,0
2010,"chatham","cthm-09",9,0
2011,"chatham","cthm-09",9,8
2012,"chatham","cthm-09",9,2
2013,"chatham","cthm-09",9,0
2014,"chatham","cthm-09",9,0
2015,"chatham","cthm-09",9,1
2016,"chatham","cthm-09",9,0
2017,"chatham","cthm-09",9,0
2018,"chatham","cthm-09",9,0
2019,"chatham","cthm-09",9,0
2020,"chatham","cthm-09",9,0
2021,"chatham","cthm-09",9,0
2022,"chatham","cthm-09",9,4
2023,"chatham","cthm-09",9,0
2024,"chatham","cthm-09",9,0
2025,"chatham","cthm-09",9,0
2000,"chatham","cthm-10",10,0
2001,"chatham","cthm-10",10,0
2002,"chatham","cthm-10",10,0
2003,"chatham","cthm-10",10,0
2004,"chatham","cthm-10",10,0
2005,"chatham","cthm-10",10,0
2006,"chatham","cthm-10",10,0
2007,"chatham","cthm-10",10,0
2008,"chatham","cthm-10",10,1
2009,"chatham","cthm-10",10,0
2010,"chatham","cthm-10",10,0
2011,"chatham","cthm-10",10,0
2012,"chatham","cthm-10",10,0
2013,"chatham","cthm-10",10,0
2015,"chatham","cthm-10",10,0
2016,"chatham","cthm-10",10,0
2017,"chatham","cthm-10",10,0
2018,"chatham","cthm-10",10,0
2019,"chatham","cthm-10",10,0
2020,"chatham","cthm-10",10,1
2021,"chatham","cthm-10",10,0
2022,"chatham","cthm-10",10,0
2023,"chatham","cthm-10",10,0
2024,"chatham","cthm-10",10,0
2025,"chatham","cthm-10",10,0
2000,"chatham","cthm-11",11,0
2001,"chatham","cthm-11",11,0
2002,"chatham","cthm-11",11,0
2003,"chatham","cthm-11",11,0
2005,"chatham","cthm-11",11,0
2006,"chatham","cthm-11",11,4
2007,"chatham","cthm-11",11,3
2008,"chatham","cthm-11",11,0
2009,"chatham","cthm-11",11,3
2010,"chatham","cthm-11",11,0
2011,"chatham","cthm-11",11,0
2012,"chatham","cthm-11",11,0
2013,"chatham","cthm-11",11,0
2016,"chatham","cthm-11",11,0
2020,"chatham","cthm-11",11,0
2022,"chatham","cthm-11",11,0
2023,"chatham","cthm-11",11,0
2024,"chatham","cthm-11",11,0
2025,"chatham","cthm-11",11,0
2000,"chatham","cthm-12",12,0
2001,"chatham","cthm-12",12,0
2002,"chatham","cthm-12",12,1
2003,"chatham","cthm-12",12,0
2004,"chatham","cthm-12",12,0
2005,"chatham","cthm-12",12,0
2006,"chatham","cthm-12",12,4
2007,"chatham","cthm-12",12,0
2008,"chatham","cthm-12",12,0
2009,"chatham","cthm-12",12,3
2017,"chatham","cthm-12",12,0
2019,"chatham","cthm-12",12,7
2020,"chatham","cthm-12",12,0
2021,"chatham","cthm-12",12,11
2022,"chatham","cthm-12",12,0
2023,"chatham","cthm-12",12,0
2024,"chatham","cthm-12",12,0
2025,"chatham","cthm-12",12,0
2000,"chatham","cthm-13",13,0
2001,"chatham","cthm-13",13,0
2002,"chatham","cthm-13",13,0
2003,"chatham","cthm-13",13,0
2004,"chatham","cthm-13",13,0
2005,"chatham","cthm-13",13,0
2006,"chatham","cthm-13",13,0
2007,"chatham","cthm-13",13,0
2008,"chatham","cthm-13",13,0
2009,"chatham","cthm-13",13,0
2010,"chatham","cthm-13",13,58
2011,"chatham","cthm-13",13,32
2012,"chatham","cthm-13",13,0
2013,"chatham","cthm-13",13,0
2014,"chatham","cthm-13",13,6
2015,"chatham","cthm-13",13,0
2016,"chatham","cthm-13",13,0
2017,"chatham","cthm-13",13,0
2018,"chatham","cthm-13",13,0
2019,"chatham","cthm-13",13,0
2020,"chatham","cthm-13",13,0
2021,"chatham","cthm-13",13,0
2022,"chatham","cthm-13",13,1
2023,"chatham","cthm-13",13,0
2024,"chatham","cthm-13",13,0
2025,"chatham","cthm-13",13,0
2000,"chatham","cthm-14",14,2
2001,"chatham","cthm-14",14,2
2002,"chatham","cthm-14",14,3
2003,"chatham","cthm-14",14,0
2004,"chatham","cthm-14",14,1
2005,"chatham","cthm-14",14,1
2006,"chatham","cthm-14",14,11
2007,"chatham","cthm-14",14,2
2008,"chatham","cthm-14",14,11
2009,"chatham","cthm-14",14,0
2014,"chatham","cthm-14",14,0
2015,"chatham","cthm-14",14,0
2019,"chatham","cthm-14",14,36
2020,"chatham","cthm-14",14,0
2021,"chatham","cthm-14",14,1
2022,"chatham","cthm-14",14,0
2023,"chatham","cthm-14",14,0
2024,"chatham","cthm-14",14,0
2025,"chatham","cthm-14",14,1
2002,"durham","drhm-01",1,0
2003,"durham","drhm-01",1,0
2004,"durham","drhm-01",1,27
2005,"durham","drhm-01",1,9
2006,"durham","drhm-01",1,17
