"year","date","mbbs_county","route","route_num","tax_order","count","county_factor","time"
2007,2007-06-07,"durham",24,4,20762,4,20,8
2007,2007-06-10,"chatham",54,14,20762,15,40,8
2007,2007-06-10,"orange",11,10,20762,34,1,8
2007,2007-06-10,"orange",13,12,20762,10,1,8
2007,2007-06-16,"orange",12,11,20762,23,1,8
2007,2007-06-17,"chatham",41,1,20762,24,40,8
2007,2007-06-17,"chatham",43,3,20762,8,40,8
2007,2007-06-17,"chatham",46,6,20762,30,40,8
2007,2007-06-17,"chatham",48,8,20762,29,40,8
2007,2007-06-17,"chatham",52,12,20762,23,40,8
2007,2007-06-17,"orange",4,3,20762,20,1,8
2007,2007-06-17,"orange",6,5,20762,20,1,8
2007,2007-06-22,"durham",27,7,20762,12,20,8
2007,2007-06-23,"chatham",47,7,20762,26,40,8
2007,2007-06-24,"chatham",45,5,20762,48,40,8
2007,2007-06-24,"chatham",49,9,20762,45,40,8
2007,2007-06-24,"chatham",50,10,20762,17,40,8
2007,2007-06-24,"durham",21,1,20762,22,20,8
2007,2007-06-24,"durham",25,5,20762,11,20,8
2007,2007-06-24,"durham",26,6,20762,9,20,8
2007,2007-06-26,"orange",10,9,20762,34,1,8
2007,2007-07-02,"durham",28,8,20762,18,20,8
2007,2007-07-15,"chatham",53,13,20762,15,40,8
2008,2008-05-18,"chatham",44,4,20762,27,40,9
2008,2008-05-18,"orange",7,6,20762,23,1,9
2008,2008-05-20,"chatham",51,11,20762,32,40,9
2008,2008-05-21,"orange",8,7,20762,18,1,9
2008,2008-05-25,"chatham",41,1,20762,35,40,9
2008,2008-05-25,"chatham",42,2,20762,35,40,9
2008,2008-05-25,"chatham",53,13,20762,34,40,9
2008,2008-05-25,"durham",22,2,20762,30,20,9
2008,2008-05-25,"orange",5,4,20762,28,1,9
2008,2008-05-26,"chatham",54,14,20762,18,40,9
2008,2008-06-01,"chatham",46,6,20762,36,40,9
2008,2008-06-01,"chatham",50,10,20762,14,40,9
2008,2008-06-01,"durham",21,1,20762,28,20,9
2008,2008-06-01,"durham",23,3,20762,24,20,9
2008,2008-06-01,"durham",24,4,20762,15,20,9
2008,2008-06-01,"orange",4,3,20762,26,1,9
2008,2008-06-01,"orange",9,8,20762,39,1,9
2008,2008-06-01,"orange",11,10,20762,26,1,9
2008,2008-06-03,"durham",27,7,20762,7,20,9
2008,2008-06-05,"chatham",49,9,20762,48,40,9
2008,2008-06-06,"orange",3,2,20762,16,1,9
2008,2008-06-07,"orange",6,5,20762,31,1,9
2008,2008-06-07,"orange",12,11,20762,32,1,9
2008,2008-06-08,"chatham",45,5,20762,42,40,9
2008,2008-06-08,"chatham",47,7,20762,24,40,9
2008,2008-06-08,"durham",25,5,20762,7,20,9
2008,2008-06-08,"durham",26,6,20762,12,20,9
2008,2008-06-08,"orange",13,12,20762,9,1,9
2008,2008-06-15,"chatham",43,3,20762,6,40,9
2008,2008-06-15,"chatham",48,8,20762,32,40,9
2008,2008-06-15,"chatham",52,12,20762,18,40,9
2008,2008-06-15,"orange",2,1,20762,23,1,9
2008,2008-06-24,"durham",28,8,20762,28,20,9
2008,2008-06-27,"orange",10,9,20762,44,1,9
2009,2009-05-17,"chatham",48,8,20762,29,40,10
2009,2009-05-24,"orange",5,4,20762,18,1,10
2009,2009-05-25,"chatham",51,11,20762,26,40,10
2009,2009-05-25,"chatham",54,14,20762,27,40,10
2009,2009-05-29,"orange",9,8,20762,21,1,10
2009,2009-05-30,"durham",24,4,20762,8,20,10
2009,2009-05-31,"chatham",42,2,20762,21,40,10
2009,2009-05-31,"chatham",52,12,20762,23,40,10
2009,2009-05-31,"durham",21,1,20762,16,20,10
2009,2009-05-31,"durham",22,2,20762,21,20,10
2009,2009-05-31,"orange",8,7,20762,18,1,10
2009,2009-06-01,"orange",4,3,20762,18,1,10
2009,2009-06-03,"orange",3,2,20762,16,1,10
2009,2009-06-07,"chatham",44,4,20762,35,40,10
2009,2009-06-07,"orange",2,1,20762,24,1,10
2009,2009-06-07,"orange",7,6,20762,12,1,10
2009,2009-06-07,"orange",11,10,20762,33,1,10
2009,2009-06-11,"chatham",41,1,20762,7,40,10
2009,2009-06-13,"orange",12,11,20762,32,1,10
2009,2009-06-14,"chatham",45,5,20762,58,40,10
2009,2009-06-14,"durham",25,5,20762,15,20,10
2009,2009-06-14,"durham",26,6,20762,3,20,10
2009,2009-06-20,"chatham",53,13,20762,58,40,10
2009,2009-06-20,"orange",6,5,20762,28,1,10
2009,2009-06-21,"chatham",43,3,20762,5,40,10
2009,2009-06-21,"chatham",46,6,20762,54,40,10
2009,2009-06-21,"chatham",50,10,20762,16,40,10
2009,2009-06-21,"durham",23,3,20762,30,20,10
2009,2009-06-27,"chatham",49,9,20762,54,40,10
2009,2009-06-28,"chatham",47,7,20762,30,40,10
2009,2009-06-28,"orange",10,9,20762,39,1,10
2009,2009-06-30,"durham",27,7,20762,6,20,10
2009,2009-07-05,"orange",13,12,20762,4,1,10
2010,2010-05-09,"durham",21,1,20762,27,20,11
2010,2010-05-23,"orange",8,7,20762,11,1,11
2010,2010-05-29,"orange",3,2,20762,12,1,11
2010,2010-05-30,"chatham",43,3,20762,13,40,11
2010,2010-05-30,"orange",6,5,20762,32,1,11
2010,2010-05-31,"orange",13,12,20762,9,1,11
2010,2010-06-01,"chatham",44,4,20762,32,40,11
2010,2010-06-01,"orange",9,8,20762,13,1,11
2010,2010-06-05,"chatham",41,1,20762,20,40,11
2010,2010-06-05,"chatham",45,5,20762,36,40,11
2010,2010-06-06,"chatham",48,8,20762,21,40,11
2010,2010-06-06,"chatham",53,13,20762,34,40,11
2010,2010-06-08,"orange",7,6,20762,22,1,11
2010,2010-06-11,"chatham",51,11,20762,28,40,11
2010,2010-06-13,"chatham",47,7,20762,25,40,11
2010,2010-06-13,"durham",22,2,20762,12,20,11
2010,2010-06-13,"durham",23,3,20762,18,20,11
2010,2010-06-13,"durham",25,5,20762,15,20,11
2010,2010-06-13,"durham",26,6,20762,14,20,11
2010,2010-06-15,"durham",27,7,20762,9,20,11
2010,2010-06-17,"orange",2,1,20762,31,1,11
2010,2010-06-20,"chatham",42,2,20762,20,40,11
2010,2010-06-20,"chatham",46,6,20762,45,40,11
2010,2010-06-20,"chatham",49,9,20762,20,40,11
2010,2010-06-20,"chatham",50,10,20762,28,40,11
2010,2010-07-18,"orange",5,4,20762,17,1,11
2011,2011-05-15,"chatham",42,2,20762,13,40,12
2011,2011-05-15,"durham",25,5,20762,11,20,12
2011,2011-05-15,"orange",8,7,20762,15,1,12
2011,2011-05-22,"durham",24,4,20762,22,20,12
2011,2011-05-22,"orange",2,1,20762,26,1,12
2011,2011-05-28,"chatham",44,4,20762,34,40,12
2011,2011-05-28,"durham",21,1,20762,21,20,12
2011,2011-05-29,"chatham",48,8,20762,17,40,12
2011,2011-05-29,"durham",26,6,20762,13,20,12
2011,2011-05-29,"orange",13,12,20762,5,1,12
2011,2011-05-30,"orange",3,2,20762,17,1,12
2011,2011-05-30,"orange",7,6,20762,10,1,12
2011,2011-06-04,"chatham",45,5,20762,54,40,12
2011,2011-06-05,"chatham",41,1,20762,19,40,12
2011,2011-06-05,"durham",22,2,20762,11,20,12
2011,2011-06-05,"orange",9,8,20762,33,1,12
2011,2011-06-09,"durham",23,3,20762,14,20,12
2011,2011-06-12,"chatham",51,11,20762,32,40,12
2011,2011-06-12,"chatham",53,13,20762,33,40,12
2011,2011-06-12,"orange",4,3,20762,17,1,12
2011,2011-06-12,"orange",10,9,20762,39,1,12
2011,2011-06-16,"durham",27,7,20762,14,20,12
2011,2011-06-18,"chatham",43,3,20762,10,40,12
2011,2011-06-19,"chatham",47,7,20762,24,40,12
2011,2011-06-19,"chatham",50,10,20762,22,40,12
2011,2011-06-19,"durham",28,8,20762,28,20,12
2011,2011-06-19,"orange",5,4,20762,38,1,12
2011,2011-06-25,"orange",6,5,20762,43,1,12
2011,2011-07-02,"chatham",49,9,20762,24,40,12
2012,2012-05-13,"orange",9,8,20762,40,1,13
2012,2012-05-17,"orange",8,7,20762,19,1,13
2012,2012-05-20,"chatham",42,2,20762,21,40,13
2012,2012-05-20,"durham",26,6,20762,12,20,13
2012,2012-05-27,"chatham",45,5,20762,39,40,13
2012,2012-05-27,"durham",21,1,20762,16,20,13
2012,2012-05-27,"durham",25,5,20762,12,20,13
2012,2012-05-28,"chatham",44,4,20762,34,40,13
2012,2012-05-28,"orange",3,2,20762,33,1,13
2012,2012-06-02,"orange",6,5,20762,34,1,13
2012,2012-06-03,"chatham",41,1,20762,61,40,13
2012,2012-06-03,"chatham",43,3,20762,11,40,13
2012,2012-06-03,"orange",7,6,20762,24,1,13
2012,2012-06-09,"chatham",47,7,20762,33,40,13
2012,2012-06-10,"durham",24,4,20762,9,20,13
2012,2012-06-10,"durham",28,8,20762,31,20,13
2012,2012-06-10,"orange",2,1,20762,25,1,13
2012,2012-06-10,"orange",10,9,20762,39,1,13
2012,2012-06-12,"durham",27,7,20762,3,20,13
2012,2012-06-16,"chatham",51,11,20762,27,40,13
2012,2012-06-17,"chatham",48,8,20762,47,40,13
2012,2012-06-17,"chatham",49,9,20762,19,40,13
2012,2012-06-17,"chatham",50,10,20762,18,40,13
2012,2012-06-17,"durham",23,3,20762,23,20,13
2012,2012-06-17,"orange",11,10,20762,70,1,13
2012,2012-06-17,"orange",12,11,20762,2,1,13
2012,2012-06-17,"orange",13,12,20762,10,1,13
2012,2012-06-23,"durham",22,2,20762,15,20,13
2012,2012-06-24,"chatham",53,13,20762,48,40,13
2013,2013-05-19,"orange",9,8,20762,16,1,14
2013,2013-05-26,"chatham",41,1,20762,29,40,14
2013,2013-05-26,"chatham",44,4,20762,33,40,14
2013,2013-05-26,"chatham",45,5,20762,56,40,14
2013,2013-05-26,"orange",3,2,20762,29,1,14
2013,2013-05-26,"orange",11,10,20762,48,1,14
2013,2013-06-02,"chatham",53,13,20762,53,40,14
2013,2013-06-02,"durham",26,6,20762,22,20,14
2013,2013-06-02,"orange",6,5,20762,41,1,14
2013,2013-06-02,"orange",7,6,20762,10,1,14
2013,2013-06-02,"orange",13,12,20762,6,1,14
2013,2013-06-09,"chatham",43,3,20762,12,40,14
2013,2013-06-09,"chatham",47,7,20762,31,40,14
2013,2013-06-09,"durham",24,4,20762,13,20,14
2013,2013-06-09,"durham",25,5,20762,10,20,14
2013,2013-06-09,"orange",5,4,20762,26,1,14
2013,2013-06-13,"orange",2,1,20762,23,1,14
2013,2013-06-14,"durham",22,2,20762,6,20,14
2013,2013-06-16,"chatham",49,9,20762,20,40,14
2013,2013-06-16,"durham",21,1,20762,28,20,14
2013,2013-06-16,"durham",23,3,20762,25,20,14
2013,2013-06-16,"durham",28,8,20762,34,20,14
2013,2013-06-16,"orange",10,9,20762,39,1,14
2013,2013-06-19,"chatham",42,2,20762,18,40,14
2013,2013-06-19,"chatham",51,11,20762,15,40,14
2013,2013-06-20,"durham",27,7,20762,10,20,14
2013,2013-06-23,"chatham",50,10,20762,18,40,14
2013,2013-06-30,"chatham",48,8,20762,48,40,14
2014,2014-05-15,"durham",24,4,20762,9,20,15
2014,2014-05-18,"orange",9,8,20762,18,1,15
2014,2014-05-25,"chatham",44,4,20762,30,40,15
2014,2014-05-25,"chatham",48,8,20762,44,40,15
2014,2014-05-25,"orange",3,2,20762,27,1,15
2014,2014-05-25,"orange",10,9,20762,46,1,15
2014,2014-05-26,"chatham",41,1,20762,28,40,15
2014,2014-05-27,"orange",8,7,20762,22,1,15
2014,2014-06-01,"chatham",54,14,20762,17,40,15
2014,2014-06-01,"durham",21,1,20762,47,20,15
2014,2014-06-01,"durham",26,6,20762,17,20,15
2014,2014-06-01,"durham",28,8,20762,32,20,15
2014,2014-06-01,"orange",4,3,20762,26,1,15
2014,2014-06-07,"durham",22,2,20762,6,20,15
2014,2014-06-08,"chatham",53,13,20762,43,40,15
2014,2014-06-08,"durham",25,5,20762,15,20,15
2014,2014-06-08,"orange",7,6,20762,15,1,15
2014,2014-06-08,"orange",13,12,20762,8,1,15
2014,2014-06-12,"durham",23,3,20762,10,20,15
2014,2014-06-15,"chatham",42,2,20762,23,40,15
2014,2014-06-15,"chatham",43,3,20762,20,40,15
2014,2014-06-15,"orange",5,4,20762,21,1,15
2014,2014-06-21,"chatham",45,5,20762,47,40,15
2014,2014-06-22,"chatham",49,9,20762,35,40,15
2014,2014-06-22,"orange",2,1,20762,26,1,15
2014,2014-06-29,"orange",6,5,20762,42,1,15
2014,2014-07-13,"chatham",47,7,20762,28,40,15
2015,2015-05-17,"chatham",41,1,20762,30,40,16
2015,2015-05-17,"chatham",42,2,20762,22,40,16
2015,2015-05-17,"chatham",43,3,20762,6,40,16
2015,2015-05-17,"durham",26,6,20762,12,20,16
2015,2015-05-24,"chatham",48,8,20762,36,40,16
2015,2015-05-24,"durham",21,1,20762,26,20,16
2015,2015-05-24,"durham",25,5,20762,18,20,16
2015,2015-05-24,"orange",2,1,20762,22,1,16
2015,2015-05-24,"orange",9,8,20762,22,1,16
2015,2015-05-24,"orange",10,9,20762,36,1,16
2015,2015-05-25,"chatham",44,4,20762,27,40,16
2015,2015-05-31,"orange",3,2,20762,16,1,16
2015,2015-05-31,"orange",5,4,20762,20,1,16
2015,2015-05-31,"orange",6,5,20762,34,1,16
2015,2015-05-31,"orange",8,7,20762,34,1,16
2015,2015-06-01,"durham",22,2,20762,11,20,16
2015,2015-06-07,"orange",4,3,20762,23,1,16
2015,2015-06-07,"orange",7,6,20762,15,1,16
2015,2015-06-13,"durham",23,3,20762,19,20,16
2015,2015-06-14,"chatham",53,13,20762,55,40,16
2015,2015-06-14,"chatham",54,14,20762,16,40,16
2015,2015-06-14,"durham",28,8,20762,21,20,16
2015,2015-06-16,"chatham",45,5,20762,37,40,16
2015,2015-06-24,"durham",27,7,20762,16,20,16
2015,2015-06-27,"chatham",47,7,20762,19,40,16
2015,2015-06-27,"chatham",50,10,20762,14,40,16
2015,2015-06-28,"orange",13,12,20762,9,1,16
